track_name,artist_name
Mercy,Shawn Mendes
Only Wanna Be With You,Hootie & The Blowfish
Angels Cry Remix - Remix,"Mariah Carey, Ne-Yo"
Tell Him - Single Version,The Exciters
Love The Way You Lie,"Eminem, Rihanna"
Gonna See My Baby Tonight,The La De Da's
Broken (feat. Amy Lee),"Seether, Amy Lee"
Higher,"Hilltop Hoods, James Chatburn"
Somebody That I Used To Know,"Gotye, Kimbra"
Ain't Telling The Truth,Bluejuice
The Only Exception,Paramore
Cats In The Cradle,Ugly Kid Joe
Higher Power,Coldplay
Sister Christian,Night Ranger
Everything About You,Ugly Kid Joe
Like Sister and Brother,The Drifters
Go Your Own Way,Fleetwood Mac
Jump,Rihanna
Wolves,"Selena Gomez, Marshmello"
Turn Up The Love,"Far East Movement, Cover Drive"
Soul Revival,Johnny Diesel & The Injectors
Perfect,Ed Sheeran
Oh Sherrie,Steve Perry
Get Down (You're the One for Me) - LP Edit No Rap,Backstreet Boys
Down (feat. Gucci Mane),"Fifth Harmony, Gucci Mane"
Rock You Like A Hurricane,Scorpions
Sugar Shack,"Jimmy Gilmer, The Fireballs"
Wake Me up When September Ends,Green Day
I Won't Back Down,Tom Petty and the Heartbreakers
Know Your Enemy,Green Day
All I Need Is A Miracle,Mike + The Mechanics
I Can Help,Billy Swan
Am I Ever Gonna See Your Face Again - Live,The Angels
I Like it Like That - 2019 - Remaster,The Dave Clark Five
Drive By,Train
This Is Who I Am,Vanessa Amorosi
A Hard Day's Night - Remastered 2009,The Beatles
Ghost,Ella Henderson
Get That Jive - 2006 Remaster,Dragon
Justified & Ancient - Stand by the Jams,The KLF
Only You Can Love Me This Way,Keith Urban
When a Man Loves a Woman,Percy Sledge
The Message,Grandmaster Flash & The Furious Five
Hold Me Closer,"Elton John, Britney Spears"
Goodbye,Sneaky Sound System
Music To My Heart,"Shab, Martinez Twins"
Last Night,Morgan Wallen
Hold Me Now,Johnny Logan
Be-Bop-A-Lula,Gene Vincent & His Blue Caps
The Dead Heart,Midnight Oil
The Living Years,Mike + The Mechanics
Ciao Adios,Anne-Marie
Kiss Me More (feat. SZA),"Doja Cat, SZA"
Señorita,"Shawn Mendes, Camila Cabello"
Get Down Tonight,KC & The Sunshine Band
Are You Lonesome Tonight,Elvis Presley
Friday I'm In Love,The Cure
Give It 2 Me,Madonna
Señorita,"Shawn Mendes, Camila Cabello"
Feelin' Alright,E.Y.C.
Do You Want To,Franz Ferdinand
Can't Get Enough of Your Love,Taylor Dayne
"It Ain't Me, Babe (with June Carter Cash)","Johnny Cash, June Carter Cash"
Remember The Name (feat. Eminem & 50 Cent),"Ed Sheeran, Eminem, 50 Cent"
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones
Million Man,The Rubens
Woke Up Late (feat. Hailee Steinfeld),"Drax Project, Hailee Steinfeld"
Better in Time,Leona Lewis
Fortune Teller - Mono,The Rolling Stones
One of These Nights - 2013 Remaster,Eagles
Don't Worry,Marty Robbins
Take My Breath - Single Version,The Weeknd
Sing Hallelujah!,Dr. Alban
That's Not My Name,The Ting Tings
Someone,Kelly Clarkson
One Too Many,"Keith Urban, P!nk"
Special Needs,Placebo
Oh Boy!,"Buddy Holly, The Crickets"
Black Velvet,Alannah Myles
Would You Raise Your Hands?,Rogue Traders
The Forgotten,Green Day
Because the Night,Patti Smith
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.
All By Myself,Eric Carmen
Home Entertainment System,Lazaro's Dog
Friday On My Mind,Gary Moore
Warrior,Havana Brown
How You Remind Me,Nickelback
Silence,"Marshmello, Khalid"
Man Overboard,Do Re Mi
Kiss Me,Sixpence None The Richer
All I Ask,Chase Martin
Higher,"Sigma, Labrinth"
"Today's The Day - From ""The Ellen DeGeneres Show""",P!nk
How Do I Live,LeAnn Rimes
Don't Lose My Number - 2016 Remaster,Phil Collins
Ave Mary A,P!nk
Last Thing on My Mind,Steps
When Will I Be Loved,The Everly Brothers
Miss Sarajevo,"Passengers, Luciano Pavarotti"
Against The Wind,Bob Seger
Lady Bump,Penny McLean
Jump In The Pool,Friendly Fires
Help Yourself,Tom Jones
Every Heartbeat,Amy Grant
Disarm,The Smashing Pumpkins
Sexy Love,Kylie Minogue
You're the One,Charli xcx
Have I Told You Lately,Russell Watson
Candle In The Wind,Elton John
I Knew I Loved You,Savage Garden
Free,Ultra Naté
Feels So Right,Sunset City
Rock'n Me,Steve Miller Band
I'm an Albatraoz,"AronChupa, Little Sis Nora"
Victims,Culture Club
Love Letters,Billy Thorpe & The Aztecs
This Ain't A Love Song,Bon Jovi
Memphis Tennessee,Dave Berry
Here With Me,"Marshmello, CHVRCHES"
I Believe in You,Michael Bublé
Shimmer,Fuel
If It's Lovin' That You Want,Rihanna
Are You With Me - Radio Edit,The Potbelleez
Catch the Wind,Donovan
Don't Wanna Let You Go - Radio Edit,"Five, Stargate"
Hello,Lionel Richie
Cloudy Day,Tones And I
If We Ever Meet Again (Featuring Katy Perry),Timbaland
Free (feat. Emeli Sandé & Nas),"Rudimental, Emeli Sandé, Nas"
Don't Start Now - Dom Dolla Remix,"Dua Lipa, Dom Dolla"
Piano Man,Billy Joel
Stop,"Sam Brown, Pete Brown"
Route 66,The Rolling Stones
Neutron Star Collision (Love Is Forever) - Soundtrack Version,Muse
Automatic (Album Version),The Pointer Sisters
Walking On A Dream,Empire Of The Sun
Spin the Black Circle - Remastered,Pearl Jam
Meet Me Halfway,Black Eyed Peas
Let's Groove,"Earth\, Wind & Fire"
The Time (Dirty Bit),Black Eyed Peas
Happy Nation,Ace of Base
Shake Me Down,Cage The Elephant
For What It's Worth,Liam Gallagher
Total Eclipse of the Heart,Bonnie Tyler
Say You Love Me,Jessie Ware
Don't Hang Up,The Orlons
Shadows,The Getaway Plan
Hey Sexy Lady,"Shaggy, Brian & Tony Gold"
I'll Remember (Theme from the Motion Picture With Honors),Madonna
Rhinestone Cowboy,Glen Campbell
Rockin’,The Weeknd
Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,Monte Video
Blue Eyes - Remastered 2003,Elton John
All to Myself,Guy Sebastian
I Can't Help Myself,The Supremes
Caught In The Crowd,Kate Miller-Heidke
Shadow Dancing,Andy Gibb
Living Without You,"Sigala, David Guetta, Sam Ryder"
Those Oldies But Goodies,Little Cesar & The Romans
Do It Again,Steely Dan
"Twist, Twist Senora",Gary U.S. Bonds
My Way - Produced By Rudimental,Thandi Phoenix
Just Lose It,Eminem
Permission To Shine,Bachelor Girl
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie"
The Show Must Go On - 2010 Remastered Version,Leo Sayer
Silhouette,Birdy
Blinded By The Light - Single edit,Manfred Mann's Earth Band
The Unguarded Moment,The Church
Stargazing,"Kygo, Justin Jesso"
The Greatest Mistakes,Birds Of Tokyo
For You,Serena Ryder
Am I Wrong,Nico & Vinz
White Silver Sands,Bill Blacks Combo
The Ketchup Song (Asereje) - Spanish Version,Las Ketchup
Everything's Alright,"John Farnham, ""Jesus Christ Superstar"" 1992 Australian Cast, Jon Stevens, Kate Cebrano"
Absolutely Fabulous - 7'' Mix; 2001 Remastered Version,Absolutely Fabulous
From The Music,The Potbelleez
Sonnet,The Verve
Great DJ,The Ting Tings
Don't Stop Believin',Journey
Take It Back,Matter Of Mind
Don't Say You Love Me,M2M
Tribute,Tenacious D
Hit and Run,Jo Jo Zep and The Falcons
Just Got Started,"360, PEZ"
Show Me the Meaning of Being Lonely,Backstreet Boys
SOS,ABBA
Sway,Michael Bublé
Roll Over Beethoven - Remastered 2009,The Beatles
Last Time,Labrinth
One More Night,Phil Collins
The Anthem,Good Charlotte
Papercuts (feat. Vera Blue),"Illy, Vera Blue"
Freedom of Choice - 2009 Remaster,DEVO
Crazy Little Thing Called Love - Remastered 2011,Queen
Blue Moon,The Marcels
Runaway,Ed Sheeran
Candy,Mandy Moore
Keeps Gettin' Better,Christina Aguilera
On the Road Again,Willie Nelson
Family Portrait,P!nk
Hotter Than Hell,Dua Lipa
Humpin' Around - Radio Edit,Bobby Brown
Glorious (feat. Skylar Grey),"Macklemore, Skylar Grey"
Love Grows (Where My Rosemary Goes) - Re-Recorded,Edison Lighthouse
Down On The Corner,Creedence Clearwater Revival
"Show Me Heaven - From ""Days Of Thunder"" Soundtrack",Maria McKee
Joy,Bastille
The Hills,The Weeknd
Hung Up,Madonna
This Ain't a Love Song,Scouting For Girls
Bad At Love,Halsey
Rock And Roll All Nite,KISS
Send My Love (To Your New Lover),Adele
She Works Hard For The Money,Donna Summer
Amigos Para Siempre - Friends for Life,"José Carreras, Sarah Brightman"
The Legend Of Xanadu,"Dave Dee\, Dozy\, Beaky\, Mick & Tich"
Rhythm Is A Dancer,SNAP!
Watch Me (Whip / Nae Nae),Silentó
It's Still Rock and Roll to Me,Billy Joel
Versace on the Floor,Britney Holmes
Homosapien,Pete Shelley
Say So,Masked Wolf
What's My Name?,"Rihanna, Drake"
Don't You Want Me - Edit,Felix
Rock$tar,Reece Mastin
Mercy,Shawn Mendes
It's a Game,Bay City Rollers
According To My Heart,The Reels
Gamble Everything for Love,Ben Lee
Ho Hey,The Lumineers
Have A Look,Vanessa Amorosi
"American Woman - 7"" Single Version",The Guess Who
Try to Remember,Des O'Connor
I Did What I Did For Maria,Tony Christie
Rising Sun,Cold Chisel
I Ran (So Far Away) - Single Edit,A Flock Of Seagulls
I Won't Back Down,Tom Petty
A Song For You,Carpenters
Life's Been Good,Joe Walsh
Put Yourself in My Place,"Kylie Minogue, Ronin"
Good Feeling,Flo Rida
Here I Go Again - 1987 Version; 2017 Remaster,Whitesnake
Keep Your Head Up,Andy Grammer
Feel the Love (feat. John Newman),"Rudimental, John Newman"
"More, More, More",Andrea True Connection
Hey Ya!,Outkast
Your Love - Radio Edit,The Aston Shuffle
Don't Hold Your Breath,Nicole Scherzinger
Life,Des'ree
Viva La Vida,Coldplay
Blame It on the Weatherman,B*Witched
,
Warm Ride,Graham Bonnet
Nobody To Love - Extended Mix,Sigma
Don't Wanna Try,Frankie J
Norman,Sue Thompson
(Just Like) Starting Over - Remastered 2010,John Lennon
Too Fake,Hockey
Call It What You Want,Foster The People
Mr. Saxobeat - Radio Edit,Alexandra Stan
Just What I Needed,The Cars
Therapy,Budjerah
Abracadabra,Steve Miller Band
Right Round,"Flo Rida, Kesha"
Self Control,Laura Branigan
Peanut Butter Jelly,Galantis
Whistle,Flo Rida
Come On Over,Shania Twain
Sexcrime (Nineteen Eighty-Four),"Eurythmics, Annie Lennox, Dave Stewart"
I Can't Stand the Rain,Eruption
Wild Wild Love (feat. G.R.L.),"Pitbull, G.R.L."
Easy,Commodores
Waiting All Night (feat. Ella Eyre),"Rudimental, Ella Eyre"
Just A Kiss,Lady A
7 Things - Single Version,Miley Cyrus
Here Comes the Rain Again - Remastered Version,"Eurythmics, Annie Lennox, Dave Stewart"
Suddenly I See,KT Tunstall
Say So,Doja Cat
You Really Got Me - 2015 Remaster,Van Halen
Travelin' Band,Creedence Clearwater Revival
Losing Grip,Avril Lavigne
Big World,Conrad Sewell
Almost With You - 2002 Digital Remaster,The Church
Changed The Way You Kissed Me (Radio Edit),Example
Forever Until Tomorrow,MKTO
Thunder,Imagine Dragons
Boom Sha La La Lo,Hans Poulsen
The Rascal King,The Mighty Mighty Bosstones
(The Man Who Shot) Liberty Valance,Gene Pitney
Everybody Dance (feat. Nile Rodgers),"Cedric Gervais, Franklin, Nile Rodgers"
Mountain,Chocolate Starfish
If You Could Read My Mind,"Ultra Naté, Amber, Jocelyn Enriquez"
One Last Breath,Creed
To Cut a Long Story Short - 2010 Remaster,Spandau Ballet
Love Is in the Air - Ballroom Mix,John Paul Young
YMCA - Original Version 1978,Village People
Gone Away,The Offspring
I Think I Love You,"David Cassidy, The Partridge Family"
Wake up Little Susie,The Everly Brothers
Missing You,John Waite
arms,Christina Perri
Love Will Find A Way,Pablo Cruise
Volare,Bobby Rydell
Man in the Mirror,Michael Jackson
Tennessee Bird Walk,"Jack Blanchard & Misty Morgan, Misty Morgen"
Bette Davis Eyes,Kim Carnes
Not Over,Bag Raiders
The Land of Make Believe,Bucks Fizz
I Don't Like It,Pauline Pantsdown
That's Amore,"Dean Martin, Dick Stabile And His Orchestra"
Rome Wasn't Built in a Day,Morcheeba
Our Day Will Come - Single Version,Ruby And The Romantics
Don't Stop Movin',S Club
Everybody's Got To Learn Sometime,The Korgis
Do The Bird,Dee Dee Sharp
A Song For You,Carpenters
A Whiter Shade of Pale - Original Single Version,Procol Harum
Higher (feat. iann dior),"Clean Bandit, iann dior"
Send My Love (To Your New Lover),Adele
We Found Love (feat. Rihanna),"Calvin Harris, Rihanna"
What's Love Got To Do With It,"Warren G, Adina Howard"
I Wish I Knew How It Would Feel to Be Free,Nina Simone
Arabella,Arctic Monkeys
Wasn't Expecting That,Jamie Lawson
In A Big Country,Big Country
Be Good Johnny,Men At Work
I Wanna Be Your Lover,Prince
Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn"
Only When I Sleep,The Corrs
"Freedom Come, Freedom Go",The Fortunes
Peaches,The Presidents Of The United States Of America
Side To Side,"Ariana Grande, Nicki Minaj"
Push Up,Freestylers
Rehab,Amy Winehouse
Stop! In The Name Of Love,The Supremes
When You Say You Love Me,Human Nature
Wouldn't Change a Thing,Kylie Minogue
Baby Makes Her Blue Jeans Talk,Dr. Hook
Dancing On My Own,Calum Scott
The Glamorous Life,Sheila E.
Bootie Call,All Saints
I'm Alright,Jo Dee Messina
Midnight Blue,Lou Gramm
When You Say Nothing At All,Ronan Keating
Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz"
Almost Unreal,Roxette
Don't Sleep in the Subway,Petula Clark
My Oh My (feat. DaBaby),"Camila Cabello, DaBaby"
Too Good At Goodbyes - Edit,Sam Smith
She's Like the Wind,"Patrick Swayze, Wendy Fraser"
Bring Me Some Water,Melissa Etheridge
Stay,Ronan Keating
Rush - Single Version,Big Audio Dynamite
FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney"
The Rockafeller Skank - Short Edit,Fatboy Slim
Drop The Pilot,Joan Armatrading
Honestly,Hot Chelle Rae
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John
Johnny Run Away,Tones And I
Brokenhearted,Karmin
Love...Thy Will Be Done - Single Version,Martika
Mary Jane's Last Dance,Tom Petty and the Heartbreakers
Misty Blue,Dorothy Moore
Walk,Foo Fighters
